"acc_num","eppi_id","short_title","title","journal","year","date_assessed","person","include","reason","country","geographic_region","site_details","comparator","wetland_class","saline_or_freshwater","disturbance_category","disturbance_type","restoration_time_period","restoration_activity","time_since_restoration","study_information","notes","measured_outcome","other_outcome","multivariate_community_composition","univariate_diversity_metric","richness","abundance_density","cover","biomass","stem_density","litter_biomass","canopy_height_structure","primary_productivity","body_size","bulk_density","soil_organic_matter","organic_carbon","cation_exchange_capacity","total_carbon","phosphorus","microbial_biomass","physiochemical_soil_property","soil_nutrients","carbon_mineralization","physiochemical_water_properties","plant_tissues_chemical_analysis","eddy_flux_measurements","ghg_emissions","gross_ecosystem_productivity","hydrology","other"
"A14","32","Anderson et al 2010","Changes in microbial community structure and function following Sphagnum peatland restoration","Soil Biology and Biochemistry","2010","10-Nov-23","CR","Y","","Canada","Quebec","Bois-de-Bel","Disturbed, Restored, Reference","peatland","freshwater","Biological resource use","Drained and vacuumed harvest then abandoned for 20 years","1999","Sphagnum moss layer transfer, drainage ditch blocked, P fertilization","7 years","Non-restored and restored sites sampled, at each location a trench was dug and three peat samples were collected, three replicate samples of peat layer (P 293), ","","Microbial","",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A15","33","Anderson et al 2013","Nutrient mineralisation and microbial functional diversity in a restored bog approach natural conditions 10 years post restoration","Soil Biology and Biochemistry","2013","13-Nov-23","CR","Y","","Canada","Quebec","Bois-de-Bel","Disturbed, Restored, Reference","peatland","freshwater","Biological resource use","Drained and vacuumed harvest then abandoned for 20 years","1999","Sphagnum moss layer transfer, drainage ditch blocked, P fertilization","7 years","Restored, unrestored vegetation and bare, and natural, 14 subsites sampled monthly within the sites","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"1",NA,NA,NA,NA,NA,"",""
"A16","40","Anderson et al 2017","Restoring Woody-Encroached Savanna and Cattail-Invaded Wetlands Using Prescribed Burning and Grazing","Masters Thesis","2017","13-Nov-23","CR","Y","","USA","Minnesota","Sherburne National Wildlife Regufe","Disturbed, Restored","marsh","freshwater","Invasive and other problematic species/genes","Invasive species (Typha)","2014","Imazapyr application, prescribed burn, cattle grazing","1-2 years","Sampled bird communities in two wetlands in each treatment (only one for burning x herbicide and burning), Bird surveys (passive and active callbacks) during the breeding season one and two years after treatment; vegetation sampling same time as bird sampling","Chapter 1","Birds","",1,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A16","40","Anderson et al 2017","Restoring Woody-Encroached Savanna and Cattail-Invaded Wetlands Using Prescribed Burning and Grazing","Masters Thesis","2017","13-Nov-23","CR","Y","","USA","Minnesota","Sherburne National Wildlife Regufe","Disturbed, Restored","marsh","freshwater","Invasive and other problematic species/genes","Invasive species (Typha)","2014","Imazapyr application, prescribed burn, cattle grazing","1-2 years","Sampled bird communities in two wetlands in each treatment (only one for burning x herbicide and burning), Bird surveys (passive and active callbacks) during the breeding season one and two years after treatment; vegetation sampling same time as bird sampling","Chapter 1; 'disturbed' is untreated invasive cattail","Vegetation","",NA,NA,NA,NA,NA,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A17","41","Anderson and Rooney 2019","Differences exist in bird communities using restored and natural wetlands in the Parkland region, Alberta, Canada","Restoration Ecology","2019","13-Nov-23","CR","Y","","Canada","Alberta","Parkland Natural Region","Disturbed, Restored, Reference","marsh","freshwater","Agriculture and aquaculture","Agriculture","2005 to 2012","DUC constructed berms, blocking agricultural surface ditches","3-10 years","","Two year study, only 2015 (year 2) compared natural and restored wetlands","Birds","",1,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A18","42","Andras et al 2020","Rewilding the small stuff: the effect of ecological restoration on prokaryotic communities of peatland soils","Microbial Ecology","2020","13-Nov-23","CR","Y","","USA","Massachusetts","Eel River Headwaters Preserve","Disturbed, Restored, Reference","wetland","freshwater","Agriculture and aquaculture","Cranberry farm","2010","Dam/ditch/culvert removal, reconstruction stream channel and flood plain, native plants and woody debris, pit and mound excavation","4 years","Comparison among sites, Total of 32 soil samples from 6 sites; restored sites, active cranberry farm, a retired cranberry farm, and a natural reference wetland","","Microbial","",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A19","43","Anisfeld et al 1999","Sedimentation rates in flow-restricted and restored salt marshes in Long Island Sound","Estuaries","1999","13-Nov-23","CR","Y","","USA","Connecticut","Long Island Sound","Disturbed, Restored, Reference","marsh","saline","Natural system modification","Restricted flow","mid-1970s","Removal of flow restrictions","20 years","Unrestricted(reference), disturbed/restricted (anthropogenic flow restriction), restored (removal of flow restrictions), ","Rates of accretion","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,"",NA,NA,NA,NA,NA,"",""
"A28","55","Artigas et al 2015","Long term carbon storage potential and CO2 sink strength of a restored salt marsh in New Jersey","Agricultural and Forest Meteorology","2015","15-Nov-23","CR","Y","","USA","New Jersey","Secaucus High School Wetlands Enhancement Site","Reference, Restored","marsh","saline","Invasive and other problematic species/genes","Invasive species (Phragmites)","NR","Excavated marsh sediment, constructed high marsh areas, planted native species","NR","Long term carbon storage potential and CO2 sink strength of a restored salt marsh in New Jersey, CO2 concentration, wind direction and speed, air pressure and temperature as well as relative humidity were recorded at 20 Hz for a 13 month period, This study discusses the results of CO2 flux measurements from June 7, 2011 through June 30, 2012. ","Undisturbed' comparator but unclear if it is a reference site or a disturbed (e.g., invaded) site","Vegetation","",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A28","55","Artigas et al 2015","Long term carbon storage potential and CO2 sink strength of a restored salt marsh in New Jersey","Agricultural and Forest Meteorology","2015","15-Nov-23","CR","Y","","USA","New Jersey","Secaucus High School Wetlands Enhancement Site","Reference, Restored","marsh","saline","Invasive and other problematic species/genes","Invasive species (Phragmites)","NR","Excavated marsh sediment, constructed high marsh areas, planted native species","NR","Long term carbon storage potential and CO2 sink strength of a restored salt marsh in New Jersey, CO2 concentration, wind direction and speed, air pressure and temperature as well as relative humidity were recorded at 20 Hz for a 13 month period, This study discusses the results of CO2 flux measurements from June 7, 2011 through June 30, 2012. ","Undisturbed' comparator but unclear if it is a reference site or a disturbed (e.g., invaded) site","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,"",NA,NA,1,NA,NA,"",""
"A30","58","Ashworth 1997","Comparison between restored and reference sedge meadow wetlands in south-central Wisconsin","Wetlands","1997","15-Nov-23","CR","Y","","USA","Wisconsin","Monona Wetland Conservancy","Reference, Restored","marsh","freshwater","Transportation and service corridors","Highway construction","1986","Removal of sand/foundry, replaced with wetland substrate","5 years","Restored vs Reference sites, stratified random design of a quadrat variance sampling method; 1 m 2 quadrat was randomly located in 10 m × 10 m sections along both sides of every transect.","","Vegetation","",NA,NA,1,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A31","66","Badiou et al 2011","Greenhouse gas emissions and carbon sequestration potential in restored wetlands of the Canadian prairie pothole region","Wetlands Ecol Manage","2011","20-Nov-23","CR","Y","","Canada","Prairie Pothole Region","Alberta, Saskatchewan, Manitoba (Fig. 1, PPR)","Reference, Restored","marsh","freshwater","Agriculture and aquaculture","Drained for agriculture","<5 or >5 years in 2003","Not stated","<5 or > 5 years","Comparing restored vs reference sites, ","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,NA,"",""
"A34","70","Ballantine and Schneider2009","Fifty-five years of soil development in restored freshwater depressional wetlands","Ecological Applications","2009","27-Nov-23","CR","Y","","USA","New York",NA,"Reference, Restored","marsh","freshwater","Agriculture and aquaculture","Agriculture (previously drained)","1948-1970, 1990-2005","unspecified","3-55 years","Comparison among restored sites and reference sites, Three replicate plots in each wetland; in each plot took 1 soil core (5 cm x 15 cm) and plant biomass and litter from a 0.10m2 quadrat, litter bags with Typha angustifolia established (3 reps) collected over a year","Biomass/cores taken between July 2 and Sept 11, 2004; bags installed and collected at 14 November 2004 (63–135 days after deployment) after fall plant senescence but pre-winter; 29 April 2005 (229–301 days after deployment) in early spring when there was still some ice on the water surface; and finally in 28 August 2005 (350–422 days after deployment) ","Vegetation","",NA,NA,NA,NA,NA,1,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A34","70","Ballantine and Schneider2009","Fifty-five years of soil development in restored freshwater depressional wetlands","Ecological Applications","2009","27-Nov-23","CR","Y","","USA","New York",NA,"Reference, Restored","marsh","freshwater","Agriculture and aquaculture","Agriculture (previously drained)","1948-1970, 1990-2005","unspecified","3-55 years","Comparison among restored sites and reference sites, Three replicate plots in each wetland; in each plot took 1 soil core (5 cm x 15 cm) and plant biomass and litter from a 0.10m2 quadrat, litter bags with Typha angustifolia established (3 reps) collected over a year","Biomass/cores taken between July 2 and Sept 11, 2004; bags installed and collected at 14 November 2004 (63–135 days after deployment) after fall plant senescence but pre-winter; 29 April 2005 (229–301 days after deployment) in early spring when there was still some ice on the water surface; and finally in 28 August 2005 (350–422 days after deployment) ","Abiotic","",NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,"",NA,NA,NA,NA,NA,"",""
"A36","74","Ballantine et al 2017","Restoration of denitrification in agricultural wetlands","Ecological Engineering","2017","29-Nov-23","CR","Y","","USA","Massachusetts","Rocky Pond Bog, Tidmarsh Farm, Eel River Preserve","Disturbed, Restored, Reference","bog","freshwater","Agriculture and aquaculture","Cranberry farm","2011","Stream reconstruction, placement of in-stream habitat features, filling artificial side channels, removal of berms/water control structures, replacement of undersized culverts","3 years","Comparison, Soil cores in each site","Also studied an active cranberry farm","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,"",NA,NA,NA,NA,NA,"",""
"A37","79","Bart and Davenport 2015","The influence of legacy impacted seed banks on vegetation recovery in a post-agricultural fen complex","Wetlands Ecol Manage","2015","29-Nov-23","CR","Y","","USA","Wisconsin","Vail-Farm","Reference, Restored","fen","freshwater","Agriculture and aquaculture","Agricultural conversion","1998","Tile drains broken","13 years","Comparison, Stratified random design","Conducted a seedbank study, Table 2","Vegetation","",1,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A37","79","Bart and Davenport 2015","The influence of legacy impacted seed banks on vegetation recovery in a post-agricultural fen complex","Wetlands Ecol Manage","2015","29-Nov-23","CR","Y","","USA","Wisconsin","Vail-Farm","Reference, Restored","fen","freshwater","Agriculture and aquaculture","Agricultural conversion","1998","Tile drains broken","13 years","Comparison, Stratified random design","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"",NA,NA,NA,NA,NA,"1",""
"A40","83","Bartolucci et al 2021","Restoration of retired agricultural land to wetland mitigates greenhouse gas emissions","","2021","29-Nov-23","CR","Y","","USA","Massachusetts","Mass Audubon Tidmarsh Wildlife Sanctuary, Eel River, Sphagnum Bog (ref)","Reference, Restored","bog","freshwater","Agriculture and aquaculture","Cranberry farm","2010 and 2015","MATWS: Dams and water control structures removed, culvert replaced/stream channel restored, large trunks/pieces distributed, and 30k wetland species were planted, Eel River: removal of dam and restoral of original hydrology"," 1 year (MATWS), 6 years (Eel River)","Comparison, Every 2 weeks at each site GHG emissions using static chambers and also collected soil parameters and SOM and bulk density","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,1,NA,"",""
"A41","86","Basiliko et al 2013","Controls on bacterial and archaeal community structure and greenhouse gas production in natural, mined, and restored Canadian peatlands","Frontiers in Microbiology","2015","30-Nov-23","CR","Y","","Canada","Quebec, New Brunswick","Riviere du Loup (QC), Shippagan (NB)","Reference, Restored","peatland","freshwater","Biological resource use","Mined for peat","Unclear","Abandonment or re-flooding","30 years","Comparison, Samples taken from site and analyzed in the lab","Poor reporting overall on the details of the actual study","Microbial","",NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A43","90","Bauer et al 2003","Mycorrhizal colonization across hydrologic gradients in restored and reference freshwater wetlands","Wetlands","2003","30-Nov-23","CR","Y","","USA","Indiana",NA,"Reference, Restored","marsh","freshwater","Agriculture and aquaculture","Agriculture","1994","Removed drainage tiles","4 years","Comparison, Cores collected in 1998 to analyse soil nutrients, three permanent transects perpendicular to the shoreline and subdivided into 3 hydrologic zones and soil cores were taken in each vegetation zone","","Mycorrhizae/fungi","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","Root colonization"
"A48","99","Beas et al 2011","Effects of sediment removal on vegetation communities in Rainwater Basin playa wetlands","Journal of Environmental Management","2011","30-Nov-23","CR","Y","","USA","Nebraska","Central Loess Plains","Disturbed, Restored, Reference","marsh","freshwater","Agriculture and aquaculture","Agriculture","1997-2008","Removing sediment and grading wetland to restore hydrology","1-12 years","Comparison, Vegetation sampling once a month from June to August 2008-2009 using step-point surveys along two parallel transects","","Vegetation","",1,1,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A49","100","Beas et al. 2013","Seed bank responses to wetland restoration: Do restored wetlands resemble reference conditions following sediment removal?","Aquatic Botany","2013","30-Nov-23","CR","Y","","USA","Nebraska","Central Loess Plains","Disturbed, Restored, Reference","marsh","freshwater","Agriculture and aquaculture","Agriculture","1997-2008","Removing sediment and grading wetland to restore hydrology","1-12 years","Comparison, Soil cores from wetlands that were then grown in an germination experiment","Seedbank study","Vegetation","",1,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A50","101","Beas and Smith 2014","Amphibian Community Responses to Playa Restoration in the Rainwater Basin","Wetlands","2014","30-Nov-23","CR","Y","","USA","Nebraska","Central Loess Plains","Disturbed, Restored, Reference","marsh","freshwater","Agriculture and aquaculture","Agriculture","1997-2008","Removing sediment and grading wetland to restore hydrology","2-11 years","Comparison, Sampled amphibian larval and adults via dip netting, noctural calls and random encounters","Weird they only did species richness","Amphibians","",NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A51","105","Begley et al 2012","A COMPARISON OF RESTORED AND NATURAL WETLANDS AS HABITAT FOR BIRDS IN THE PRAIRIE POTHOLE REGION OF SASKATCHEWAN, CANADA","The Raffles Bulletin of Zoology","2012","30-Nov-23","CR","Y","","Canada","Saskatchewan","Prairie Pothole Region","Reference, Restored","marsh","freshwater","Agriculture and aquaculture","Agriculture","1992-1997","Ditch plugs","3-8 years","Comparison, Sampled birds from May - June using callbacks, basic measurements of habitat recorded","","Vegetation","",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A51","105","Begley et al 2012","A COMPARISON OF RESTORED AND NATURAL WETLANDS AS HABITAT FOR BIRDS IN THE PRAIRIE POTHOLE REGION OF SASKATCHEWAN, CANADA","The Raffles Bulletin of Zoology","2012","30-Nov-23","CR","Y","","Canada","Saskatchewan","Prairie Pothole Region","Reference, Restored","marsh","freshwater","Agriculture and aquaculture","Agriculture","1992-1997","Ditch plugs","3-8 years","Comparison, Sampled birds from May - June using callbacks, basic measurements of habitat recorded","","Birds","",1,1,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A52","106","Belleveau et al 2015","Vegetation Community Response to Tidal Marsh Restoration of a Large River Estuary","Northwest Science","2015","30-Nov-23","CR","Y","","USA","Washington","Puget Sound","Reference, Restored","marsh","freshwater","Not specified","Not specified","2002, 2006 and 2009","Dike removal","1-8 years","Comparison, Established transects in each wetland and surveyed 0.25 m2 quadrats at 0, 20, and 40 m for soil pore water salinity, elevation, % cover, stem density, max height; additional 21 wuadrats for terrestrial invertebrate sampling","Restoration with Nisqually National Wildlife Refuge and Nisqually Indian Tribe; predicting relationship of vegetation with salinity/elevation","Vegetation","",NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A56","113","Benson 2013","Chapter 1: Biodiversity and Habitat Value of US Federal Wetland Restorations on Private Property in Northern New York","PhD Thesis","2013","01-Dec-23","CR","Y","","USA","New York","St Lawrence River Valley","Reference, Restored","marsh","freshwater","Agriculture and aquaculture","Agriculture?","1988-2008?","Unclear","1-21 years","Comparison, Paired restored (n=14) and reference (n=14) wetlands that were paired based on wetland area, proportion of open water, distance between sites, presence of beavers; conducted bird surveys (callbacks), anuran surveys, reptile survey, fish surveys, plant surveys ","Table 1.3 summary of all results","Birds","",NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A56","113","Benson 2013","Chapter 1: Biodiversity and Habitat Value of US Federal Wetland Restorations on Private Property in Northern New York","PhD Thesis","2013","01-Dec-23","CR","Y","","USA","New York","St Lawrence River Valley","Reference, Restored","marsh","freshwater","Agriculture and aquaculture","Agriculture?","1988-2008?","Unclear","1-21 years","Comparison, Paired restored (n=14) and reference (n=14) wetlands that were paired based on wetland area, proportion of open water, distance between sites, presence of beavers; conducted bird surveys (callbacks), anuran surveys, reptile survey, fish surveys, plant surveys ","Table 1.3 summary of all results","Amphibians","",NA,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
